Image Name,Uploaded Date,Classify Status,Number of Persons,Missing Hardhat,Missing PPE,Classified Image
WIN_20250221_11_44_31_Pro.jpg,09:46.1,Yes,2,Yes,Yes,static/uploads/WIN_20250221_11_44_31_Pro.jpg_result.jpg
WIN_20250225_12_14_37_Pro.jpg,15:55.2,Yes,2,Yes,Yes,static/uploads/WIN_20250225_12_14_37_Pro.jpg_result.jpg
WIN_20241009_11_05_58_Pro.jpg,32:20.4,Yes,2,Yes,Yes,static/uploads/WIN_20241009_11_05_58_Pro.jpg_result.jpg
WIN_20250228_11_25_23_Pro.jpg,28:42.5,Yes,3,Yes,Yes,static/uploads/WIN_20250228_11_25_23_Pro.jpg_result.jpg
img111.jpg,30:31.5,Yes,2,No,Yes,static/uploads/img111.jpg_result.jpg
img112.jpg,09:54.8,Yes,0,No,No,static/uploads/img112.jpg_result.jpg
WIN_20250302_07_51_12_Pro.jpg,52:34.3,Yes,1,Yes,Yes,static/uploads/WIN_20250302_07_51_12_Pro.jpg_result.jpg
WIN_20250302_07_54_58_Pro.jpg,55:31.5,Yes,1,Yes,No,static/uploads/WIN_20250302_07_54_58_Pro.jpg_result.jpg
WIN_20250313_09_22_44_Pro.jpg,2025-03-13 09:47:51.734984,Yes,3,Yes,Yes,static/uploads/WIN_20250313_09_22_44_Pro.jpg_result.jpg
WIN_20250313_09_50_18_Pro.jpg,2025-03-13 09:50:49.683657,Yes,1,No,No,static/uploads/WIN_20250313_09_50_18_Pro.jpg_result.jpg
WIN_20250314_08_30_44_Pro.jpg,2025-03-14 10:57:24.849266,Yes,2,Yes,Yes,static/uploads/WIN_20250314_08_30_44_Pro.jpg_result.jpg
WIN_20250314_12_02_03_Pro.jpg,2025-03-14 12:02:25.271965,Yes,2,Yes,Yes,static/uploads/WIN_20250314_12_02_03_Pro.jpg_result.jpg
WIN_20250412_11_08_07_Pro.jpg,2025-04-12 11:10:02.182849,Yes,4,Yes,Yes,static/uploads/WIN_20250412_11_08_07_Pro.jpg_result.jpg
WIN_20250412_11_16_53_Pro.jpg,2025-04-12 11:17:26.712036,Yes,2,Yes,Yes,static/uploads/WIN_20250412_11_16_53_Pro.jpg_result.jpg
WIN_20250521_11_30_46_Pro.jpg,2025-05-21 11:32:26.206635,Yes,1,Yes,Yes,static/uploads/WIN_20250521_11_30_46_Pro.jpg_result.jpg
WIN_20250521_14_08_05_Pro.jpg,2025-05-21 14:10:29.119049,Yes,3,Yes,Yes,static/uploads/WIN_20250521_14_08_05_Pro.jpg_result.jpg
WIN_20250816_08_07_16_Pro.jpg,2025-08-16 08:11:51.226704,Yes,1,Yes,Yes,static/uploads/WIN_20250816_08_07_16_Pro.jpg_result.jpg
c1.jpg,2025-11-07 07:55:24.411075,Yes,1,No,Yes,static/uploads/c1.jpg_result.jpg
WIN_20251125_17_02_49_Pro.jpg,2025-11-26 13:34:56.829958,Yes,2,Yes,Yes,static/uploads/WIN_20251125_17_02_49_Pro.jpg_result.jpg
WIN_20251126_14_04_52_Pro.jpg,2025-11-26 14:05:03.034977,Yes,1,Yes,Yes,static/uploads/WIN_20251126_14_04_52_Pro.jpg_result.jpg
WIN_20251125_17_02_49_Pro.jpg,2025-11-26 14:09:55.599286,Yes,2,Yes,Yes,static/uploads/WIN_20251125_17_02_49_Pro.jpg_result.jpg
WIN_20251125_17_02_49_Pro.jpg,2025-11-26 14:12:58.798047,Yes,2,Yes,Yes,static/uploads/WIN_20251125_17_02_49_Pro.jpg_result.jpg
images_1.jpg,2025-11-26 18:39:04.530755,Yes,2,No,Yes,static/uploads/images_1.jpg_result.jpg
WIN_20251125_17_02_49_Pro.jpg,2025-11-26 18:41:16.948727,Yes,2,Yes,Yes,static/uploads/WIN_20251125_17_02_49_Pro.jpg_result.jpg
WIN_20251126_18_44_13_Pro.jpg,2025-11-26 18:44:27.901156,Yes,1,Yes,Yes,static/uploads/WIN_20251126_18_44_13_Pro.jpg_result.jpg
WIN_20251126_18_44_15_Pro.jpg,2025-11-26 20:54:43.822329,Yes,1,Yes,Yes,static/uploads/WIN_20251126_18_44_15_Pro.jpg_result.jpg
WIN_20251127_08_48_42_Pro.jpg,2025-11-27 08:48:50.569847,Yes,1,Yes,Yes,static/uploads/WIN_20251127_08_48_42_Pro.jpg_result.jpg
